Player,Nationality,Role
MS Dhoni,India,Captain/Wicket-keeper/Batter
Suresh Raina,India,Batter
Michael Hussey,Australia,Batter
Parthiv Patel,India,Wicket-keeper/Batter
Subramaniam Badrinath,India,Batter
Albie Morkel,South Africa,All-rounder
Lakshmipathy Balaji,India,Bowler
Muttiah Muralitharan,Sri Lanka,Bowler
Manpreet Gony,India,Bowler
Ravichandran Ashwin,India,Bowler
Anirudha Srikkanth,India,Batter
Sudeep Tyagi,India,Bowler
Shadab Jakati,India,Bowler
Arun Karthik,India,Batter
George Bailey,Australia,Batter
Murali Vijay,India,Batter
Ravindra Jadeja,India,All-rounder
Ben Hilfenhaus,Australia,Bowler
Rohit Sharma,India,Batter
Dwayne Bravo,West Indies,All-rounder
Tim Southee,New Zealand,Bowler
Faf du Plessis,South Africa,Batter
Wriddhiman Saha,India,Wicket-keeper/Batter
Imran Tahir,South Africa,Bowler
Chris Morris,South Africa,All-rounder
Dirk Nannes,Australia,Bowler
Mohit Sharma,India,Bowler
Jason Holder,West Indies,All-rounder
Baba Aparajith,India,All-rounder
Vijay Shankar,India,All-rounder
Ankit Rajpoot,India,Bowler
Brendon McCullum,New Zealand,Wicket-keeper/Batter
Dwayne Smith,West Indies,All-rounder
Mithun Manhas,India,Batter
Pawan Negi,India,All-rounder
Ankush Bains,India,Wicket-keeper
David Hussey,Australia,Batter
Ashish Nehra,India,Bowler
Eklavya Dwivedi,India,Wicket-keeper
Rahul Sharma,India,Bowler
Andrew Tye,Australia,Bowler
Irfan Pathan,India,All-rounder
Shane Watson,Australia,All-rounder
Ambati Rayudu,India,Batter
Kedar Jadhav,India,All-rounder
Harbhajan Singh,India,Bowler
Deepak Chahar,India,Bowler
Shardul Thakur,India,Bowler
Lungi Ngidi,South Africa,Bowler
Karn Sharma,India,Bowler
Mitchell Santner,New Zealand,All-rounder
KM Asif,India,Bowler
N Jagadeesan,India,Wicket-keeper
Ruturaj Gaikwad,India,Batter
Sam Curran,England,All-rounder
Piyush Chawla,India,Bowler
Josh Hazlewood,Australia,Bowler
Robin Uthappa,India,Batter
Moeen Ali,England,All-rounder
Krishnappa Gowtham,India,All-rounder
Cheteshwar Pujara,India,Batter
Shivam Dube,India,All-rounder
Tushar Deshpande,India,Bowler
Simarjeet Singh,India,Bowler
Adam Milne,New Zealand,Bowler
Chris Jordan,England,All-rounder
Ajinkya Rahane,India,Batter
Ben Stokes,England,All-rounder
Akash Singh,India,Bowler
Mustafizur Rahman,Bangladesh,Bowler
Rahul Tripathi,India,Batter
Deepak Hooda,India,All-rounder
Shreyas Gopal,India,Bowler
Khaleel Ahmed,India,Bowler
Nathan Ellis,Australia,Bowler
Adam Gilchrist,Australia,Wicket-keeper
Venugopal Rao,India,Batsman
Dwaraka Ravi Teja,India,Batsman
Pragyan Ojha,India,Bowler
Tirumalasetti Suman,India,Batsman
Ryan Harris,Australia,All-rounder
Manvinder Bisla,India,Wicket-keeper
Mitchell Marsh,Australia,All-rounder
Ashish Reddy,India,All-rounder
Kumar Sangakkara,Sri Lanka,Wicket-keeper
Shikhar Dhawan,India,Batsman
Ishant Sharma,India,Bowler
Amit Mishra,India,Bowler
Ishank Jaggi,India,Batsman
Sunny Sohal,India,Batsman
Bharat Chipli,India,Batsman
Kevin Pietersen,England,Batsman
JP Duminy,South Africa,All-rounder
Daniel Christian,Australia,All-rounder
Jaydev Shah,India,Batsman
Chris Lynn,Australia,Batsman
Cameron White,Australia,Batsman
Dale Steyn,South Africa,Bowler
Ankit Sharma,India,Bowler
Shreyas Iyer,India,Captain/Batter
Rishabh Pant,India,Wicket-keeper/Batter
Prithvi Shaw,India,Batter
Sherfane Rutherford,West Indies,Batter
Axar Patel,India,All-rounder
Rahul Tewatia,India,All-rounder
Kagiso Rabada,South Africa,Bowler
Trent Boult,New Zealand,Bowler
Avesh Khan,India,Bowler
Harshal Patel,India,Bowler
Jayant Yadav,India,All-rounder
Jalaj Saxena,India,All-rounder
Shimron Hetmyer,West Indies,Batter
Marcus Stoinis,Australia,All-rounder
Lalit Yadav,India,All-rounder
Anrich Nortje,South Africa,Bowler
Praveen Dubey,India,Bowler
Steve Smith,Australia,Batter
Chris Woakes,England,All-rounder
Umesh Yadav,India,Bowler
Vishnu Vinod,India,Wicket-keeper/Batter
David Warner,Australia,Batter
Sarfaraz Khan,India,Batter
Mandeep Singh,India,Batter
Rovman Powell,West Indies,Batter
Chetan Sakariya,India,Bowler
Kuldeep Yadav,India,Bowler
Manish Pandey,India,Batter
Rilee Rossouw,South Africa,Batter
Ricky Bhui,India,Batter
KL Rahul,India,Wicket-keeper
Karun Nair,India,Batter
Mitchell Starc,Australia,Bowler
T Natarajan,India,Bowler
Dushmantha Chameera,Sri Lanka,Bowler
Darshan Nalkande,India,Bowler
Virender Sehwag,India,Captain/Batter
Gautam Gambhir,India,Batter
AB de Villiers,South Africa,Batter
Dinesh Karthik,India,Wicket-keeper/Batter
Manoj Tiwary,India,Batter
Tillakaratne Dilshan,Sri Lanka,Batter
Rajat Bhatia,India,All-rounder
Daniel Vettori,New Zealand,All-rounder
Pradeep Sangwan,India,Bowler
Yogesh Nagar,India,All-rounder
Owais Shah,England,Batter
Andrew McDonald,Australia,All-rounder
Moises Henriques,Australia,All-rounder
Sarabjit Ladda,India,Bowler
Aaron Finch,Australia,Batter
Naman Ojha,India,Wicket-keeper/Batter
Matthew Wade,Australia,Wicket-keeper/Batter
Unmukt Chand,India,Batter
James Hopes,Australia,All-rounder
Roelof van der Merwe,South Africa,All-rounder
Ajit Agarkar,India,Bowler
Ashok Dinda,India,Bowler
Morne Morkel,South Africa,Bowler
Varun Aaron,India,Bowler
Shahbaz Nadeem,India,Bowler
Mahela Jayawardene,Sri Lanka,Batter
Ross Taylor,New Zealand,Batter
Andre Russell,West Indies,All-rounder
Glenn Maxwell,Australia,All-rounder
Johan Botha,South Africa,All-rounder
Siddarth Kaul,India,Bowler
Mayank Agarwal,India,Batter
Saurabh Tiwary,India,Batter
Laxmi Ratan Shukla,India,All-rounder
James Neesham,New Zealand,All-rounder
Quinton de Kock,South Africa,Wicket-keeper
Nathan Coulter-Nile,Australia,Bowler
Mohammed Shami,India,Bowler
Jaydev Unadkat,India,Bowler
Wayne Parnell,South Africa,All-rounder
Yuvraj Singh,India,All-rounder
Angelo Mathews,Sri Lanka,All-rounder
Travis Head,Australia,Batter
Zaheer Khan,India,Bowler
Sanju Samson,India,Wicket-keeper/Batter
Chama Milind,India,Bowler
Pawan Suyal,India,Bowler
Mahipal Lomror,India,All-rounder
Aditya Tare,India,Wicket-keeper/Batter
Corey Anderson,New Zealand,All-rounder
Shashank Singh,India,All-rounder
Pat Cummins,Australia,Bowler
Navdeep Saini,India,Bowler
Murugan Ashwin,India,Bowler
Jason Roy,England,Batter
Gurkeerat Singh Mann,India,Batter
Abhishek Sharma,India,All-rounder
James Faulkner,Australia,All-rounder
Praveen Kumar,India,Bowler
Dhawal Kulkarni,India,Bowler
Ishan Kishan,India,Wicket-keeper
Paras Dogra,India,Batsman
Pravin Tambe,India,Bowler
Munaf Patel,India,Bowler
Basil Thampi,India,Bowler
Hardik Pandya,India,All-rounder
Rashid Khan,Afghanistan,Bowler
Shubman Gill,India,Batsman
Lockie Ferguson,New Zealand,Bowler
David Miller,South Africa,Batsman
Kane Williamson,New Zealand,Batsman
Shivam Mavi,India,Bowler
Shahrukh Khan,India,All-rounder
Jos Buttler,England,Wicket-keeper
Anuj Rawat,India,Wicket-keeper
Glenn Phillips,New Zealand,All-rounder
Washington Sundar,India,All-rounder
Mohammed Siraj,India,Bowler
Prasidh Krishna,India,Bowler
Kulwant Khejroliya,India,Bowler
Shaun Marsh,Australia,Batter
Rishi Dhawan,India,All-rounder
Brett Lee,Australia,Bowler
Vikramjeet Malik,India,Bowler
Bipul Sharma,India,All-rounder
Abhishek Nayar,India,All-rounder
Dimitri Mascarenhas,England,All-rounder
Nitish Rana,India,Batter
Manan Vohra,India,Batter
Sandeep Sharma,India,Bowler
Thisara Perera,Sri Lanka,All-rounder
Mitchell Johnson,Australia,Bowler
Murali Kartik,India,Bowler
Anureet Singh,India,Bowler
Swapnil Singh,India,All-rounder
KC Cariappa,India,Bowler
Eoin Morgan,England,Batter
Rinku Singh,India,Batter
Chris Gayle,West Indies,Batter
Barinder Sran,India,Bowler
Mujeeb Ur Rahman,Afghanistan,Bowler
Nicholas Pooran,West Indies,Wicket-keeper/Batter
Varun Chakravarthy,India,Bowler
Harpreet Brar,India,All-rounder
Prabhsimran Singh,India,Wicket-keeper/Batter
Arshdeep Singh,India,Bowler
Ravi Bishnoi,India,Bowler
Jagadeesha Suchith,India,Bowler
Brad Hodge,Australia,Batsman
Steven Smith,Australia,Batsman
Sourav Ganguly,India,Captain/Batter
Debabrata Das,India,Batter
Iqbal Abdulla,India,All-rounder
Jacques Kallis,South Africa,All-rounder
Yusuf Pathan,India,All-rounder
Shakib Al Hasan,Bangladesh,All-rounder
Ryan ten Doeschate,Netherlands,All-rounder
Shreevats Goswami,India,Wicket-keeper/Batter
Sunil Narine,West Indies,Bowler
Sumit Narwal,India,Bowler
Suryakumar Yadav,India,Batter
Vinay Kumar,India,Bowler
Sheldon Jackson,India,Wicket-keeper/Batter
Sandeep Warrier,India,Bowler
Siddhesh Lad,India,Batter
Ben Cutting,Australia,All-rounder
Venkatesh Iyer,India,All-rounder
Vaibhav Arora,India,Bowler
Anukul Roy,India,All-rounder
Mohammad Nabi,Afghanistan,All-rounder
Mayank Markande,India,Bowler
Krunal Pandya,India,All-rounder
Mohsin Khan,India,Bowler
Devdutt Padikkal,India,Batsman
Aiden Markram,South Africa,Batter
Abdul Samad,India,Batter
Shahbaz Ahmed,India,All-rounder
Akash Deep,India,Bowler
Sachin Tendulkar,India,Captain/Batter
Lasith Malinga,Sri Lanka,Bowler
Sachin Rana,India,All-rounder
Ali Murtaza,India,Bowler
Kieron Pollard,West Indies,All-rounder
Stuart Binny,India,All-rounder
Abu Nechim,India,Bowler
Yuzvendra Chahal,India,Bowler
Jasprit Bumrah,India,Bowler
Mitchell McClenaghan,New Zealand,Bowler
Abhimanyu Mithun,India,Bowler
Jitesh Sharma,India,Wicket-keeper
Rahul Chahar,India,Bowler
Anmolpreet Singh,India,Batsman
Arjun Tendulkar,India,Bowler
Tim David,Australia,Batsman
Jofra Archer,England,Bowler
Bhuvneshwar Kumar,India,All-rounder
Kane Richardson,Australia,Bowler
Jonny Bairstow,England,Wicket-keeper/Batter
Liam Livingstone,England,All-rounder
Pankaj Singh,India,Bowler
Siddharth Trivedi,India,Bowler
Amit Singh,India,Bowler
Shaun Tait,Australia,Bowler
Rahul Dravid,India,Batsman
Dishant Yagnik,India,Wicket-keeper
Sachin Baby,India,Batsman
Heinrich Klaasen,South Africa,Wicket-keeper
Riyan Parag,India,All-rounder
Yashasvi Jaiswal,India,Batsman
Adam Zampa,Australia,Bowler
Wanindu Hasaranga,Sri Lanka,Bowler
Virat Kohli,India,Batter
KP Appanna,India,Bowler
Sreenath Aravind,India,Bowler
