Player,2008,2009,2010,2011,2012,2013,2014,2015,2018,2019,2020,2021,2022,2023,2024,2025,2016,2017
MS Dhoni,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,Rising Pune Supergiants,Rising Pune Supergiant
Suresh Raina,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,na,na,na,na,Gujarat Lions,Gujarat Lions
Michael Hussey,CSK,CSK,CSK,CSK,CSK,CSK,MI,CSK,na,na,na,na,na,na,na,na,na,na
Parthiv Patel,CSK,CSK,CSK,Kochi Tuskers Kerala,Deccan Chargers,SRH,RCB,MI,na,RCB,RCB,na,na,na,na,na,MI,MI
Subramaniam Badrinath,CSK,CSK,CSK,CSK,CSK,CSK,na,na,na,na,na,na,na,na,na,na,na,na
Albie Morkel,CSK,CSK,CSK,CSK,CSK,CSK,RCB,DD,na,na,na,na,na,na,na,na,Rising Pune Supergiants,na
Lakshmipathy Balaji,CSK,CSK,CSK,KKR,KKR,KKR,KXIP,KXIP,na,na,na,na,na,na,na,na,na,na
Muttiah Muralitharan,CSK,CSK,CSK,Kochi Tuskers Kerala,RCB,RCB,RCB,RCB,na,na,na,na,na,na,na,na,na,na
Manpreet Gony,CSK,CSK,CSK,Deccan Chargers,Deccan Chargers,KXIP,na,na,na,na,na,na,na,na,na,na,na,Gujarat Lions
Ravichandran Ashwin,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,KXIP,KXIP,DC,DC,RR,RR,RR,CSK,Rising Pune Supergiants,na
Anirudha Srikkanth,CSK,CSK,CSK,CSK,CSK,CSK,na,na,na,na,na,na,na,na,na,na,na,na
Sudeep Tyagi,CSK,CSK,CSK,CSK,na,SRH,na,na,na,na,na,na,na,na,na,na,na,na
Shadab Jakati,CSK,CSK,CSK,CSK,CSK,CSK,RCB,RCB,na,na,na,na,na,na,na,na,Gujarat Lions,Gujarat Lions
Arun Karthik,CSK,na,CSK,RCB,RCB,RCB,na,na,na,na,na,na,na,na,na,na,na,na
George Bailey,na,CSK,CSK,na,na,na,KXIP,KXIP,na,na,na,na,na,na,na,na,Rising Pune Supergiants,na
Murali Vijay,na,na,CSK,CSK,CSK,CSK,DD,KXIP,CSK,CSK,CSK,na,na,na,na,na,KXIP,na
Ravindra Jadeja,RR,RR,CSK,Kochi Tuskers Kerala,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,Gujarat Lions,Gujarat Lions
Ben Hilfenhaus,na,na,CSK,CSK,CSK,CSK,CSK,MI,na,na,na,na,na,na,na,na,na,DD
Rohit Sharma,Deccan Chargers,Deccan Chargers,Deccan Chargers,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI,MI
Dwayne Bravo,MI,MI,MI,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,na,na,na,Gujarat Lions,Gujarat Lions
Tim Southee,na,na,na,CSK,na,na,RR,RR,RCB,RCB,na,KKR,KKR,KKR,na,na,MI,MI
Faf du Plessis,na,na,na,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,CSK,RCB,RCB,RCB,DC,Rising Pune Supergiants,Rising Pune Supergiant
Wriddhiman Saha,KKR,KKR,KKR,CSK,CSK,CSK,KXIP,KXIP,SRH,SRH,SRH,SRH,Gujarat Titans,Gujarat Titans,Gujarat Titans,na,KXIP,KXIP
Imran Tahir,na,na,na,na,CSK,CSK,DD,DD,CSK,CSK,CSK,CSK,na,na,na,na,DD,Rising Pune Supergiant
Chris Morris,na,na,na,na,CSK,CSK,na,RR,DD,DC,RCB,RR,na,na,na,na,DD,DD
Dirk Nannes,na,DD,DD,RCB,RCB,CSK,na,na,na,na,na,na,na,na,na,na,na,na
Mohit Sharma,na,na,na,na,KXIP,CSK,CSK,CSK,KXIP,CSK,DC,na,na,Gujarat Titans,Gujarat Titans,DC,KXIP,KXIP
Jason Holder,na,na,na,na,na,CSK,SRH,na,na,na,SRH,SRH,Lucknow Super Giants,RR,na,na,KKR,na
Baba Aparajith,na,na,na,na,na,CSK,CSK,CSK,na,na,na,na,na,na,na,na,Rising Pune Supergiants,Rising Pune Supergiant
Vijay Shankar,na,na,na,na,na,CSK,CSK,na,DD,SRH,SRH,SRH,Gujarat Titans,Gujarat Titans,Gujarat Titans,CSK,SRH,SRH
Ankit Rajpoot,na,na,na,na,na,CSK,na,na,KXIP,KXIP,RR,na,Lucknow Super Giants,na,na,na,KKR,KKR
Brendon McCullum,KKR,KKR,KKR,Kochi Tuskers Kerala,KKR,KKR,CSK,CSK,RCB,na,na,na,na,na,na,na,Gujarat Lions,Gujarat Lions
Dwayne Smith,na,Deccan Chargers,Deccan Chargers,na,na,MI,CSK,CSK,na,na,na,na,na,na,na,na,Gujarat Lions,Gujarat Lions
Mithun Manhas,DD,DD,DD,Pune Warriors India,Pune Warriors India,Pune Warriors India,CSK,CSK,na,na,na,na,na,na,na,na,na,na
Pawan Negi,na,na,na,na,DD,DD,CSK,CSK,RCB,RCB,na,KKR,na,na,na,na,DD,RCB
Ankush Bains,na,na,na,na,na,na,RR,RR,na,DC,na,na,na,na,na,na,Rising Pune Supergiants,Rising Pune Supergiant
David Hussey,KKR,KKR,KKR,KXIP,KXIP,KXIP,CSK,na,na,na,na,na,na,na,na,na,na,na
Ashish Nehra,MI,MI,DD,Pune Warriors India,Pune Warriors India,DD,na,CSK,na,na,na,na,na,na,na,na,SRH,SRH
Eklavya Dwivedi,na,na,na,Pune Warriors India,Pune Warriors India,Pune Warriors India,na,CSK,na,na,na,na,na,na,na,na,Gujarat Lions,SRH
Rahul Sharma,na,na,Deccan Chargers,Pune Warriors India,Pune Warriors India,Pune Warriors India,DD,DD,na,na,na,na,na,na,na,na,na,na
Andrew Tye,na,na,na,na,na,na,na,CSK,KXIP,KXIP,RR,RR,Lucknow Super Giants,na,na,na,Gujarat Lions,Gujarat Lions
Irfan Pathan,KXIP,KXIP,KXIP,DD,DD,DD,SRH,CSK,na,na,na,na,na,na,na,na,Rising Pune Supergiants,na
Shane Watson,RR,RR,RR,RR,RR,RR,RR,RR,CSK,CSK,CSK,na,na,na,na,na,RCB,RCB
Ambati Rayudu,na,na,MI,MI,MI,MI,MI,MI,CSK,CSK,CSK,CSK,CSK,CSK,na,na,MI,MI
Kedar Jadhav,na,RCB,DD,Kochi Tuskers Kerala,na,DD,DD,DD,CSK,CSK,CSK,SRH,na,RCB,na,na,RCB,RCB
Harbhajan Singh,MI,MI,MI,MI,MI,MI,MI,MI,CSK,CSK,na,KKR,na,na,na,na,MI,MI
Deepak Chahar,na,na,na,RR,RR,na,na,na,CSK,CSK,CSK,CSK,CSK,CSK,CSK,MI,Rising Pune Supergiants,Rising Pune Supergiant
Shardul Thakur,na,na,na,na,na,na,KXIP,KXIP,CSK,CSK,CSK,CSK,DC,KKR,CSK,na,KXIP,Rising Pune Supergiant
Lungi Ngidi,na,na,na,na,na,na,na,na,CSK,CSK,CSK,CSK,DC,DC,na,RCB,na,na
Karn Sharma,na,RCB,na,na,na,SRH,SRH,SRH,CSK,CSK,CSK,CSK,RCB,RCB,RCB,MI,SRH,MI
Mitchell Santner,na,na,na,na,na,na,na,na,CSK,CSK,CSK,CSK,CSK,CSK,CSK,MI,na,na
KM Asif,na,na,na,na,na,na,na,na,CSK,CSK,CSK,CSK,CSK,RR,na,na,na,na
N Jagadeesan,na,na,na,na,na,na,na,na,CSK,CSK,CSK,CSK,CSK,KKR,na,na,na,na
Ruturaj Gaikwad,na,na,na,na,na,na,na,na,na,CSK,CSK,CSK,CSK,CSK,CSK,CSK,na,na
Sam Curran,na,na,na,na,na,na,na,na,na,KXIP,CSK,CSK,na,PBKS,PBKS,CSK,na,na
Piyush Chawla,KXIP,KXIP,KXIP,KXIP,KXIP,KXIP,KKR,KKR,KKR,KKR,CSK,MI,na,MI,MI,na,KKR,KKR
Josh Hazlewood,na,na,na,na,na,na,MI,MI,na,na,CSK,CSK,RCB,na,na,RCB,na,na
Robin Uthappa,MI,RCB,RCB,Pune Warriors India,Pune Warriors India,Pune Warriors India,KKR,KKR,KKR,KKR,RR,CSK,CSK,na,na,na,KKR,KKR
Moeen Ali,na,na,na,na,na,na,na,na,RCB,RCB,RCB,CSK,CSK,CSK,CSK,KKR,na,na
Krishnappa Gowtham,na,na,na,na,na,na,na,na,RR,RR,KXIP,CSK,Lucknow Super Giants,Lucknow Super Giants,na,na,na,MI
Cheteshwar Pujara,na,KKR,KKR,RCB,RCB,RCB,KXIP,na,na,na,na,CSK,na,na,na,na,na,na
Shivam Dube,na,na,na,na,na,na,na,na,na,RCB,RCB,RR,CSK,CSK,CSK,na,na,na
Tushar Deshpande,na,na,na,na,na,na,na,na,na,na,DC,na,CSK,CSK,CSK,RR,na,na
Simarjeet Singh,na,na,na,na,na,na,na,na,na,na,na,MI,CSK,CSK,CSK,SRH,na,na
Adam Milne,na,na,na,na,na,na,na,RCB,na,na,na,MI,CSK,na,na,na,RCB,RCB
Chris Jordan,na,na,na,na,na,na,na,na,SRH,na,KXIP,PBKS,CSK,MI,na,na,RCB,SRH
Ajinkya Rahane,MI,na,MI,RR,RR,RR,RR,RR,RR,RR,DC,DC,KKR,CSK,CSK,KKR,Rising Pune Supergiants,Rising Pune Supergiant
Ben Stokes,na,na,na,na,na,na,na,na,RR,RR,RR,RR,na,CSK,na,na,na,Rising Pune Supergiant
Akash Singh,na,na,na,na,na,na,na,na,na,na,RR,RR,na,CSK,SRH,LSG,na,na
Mustafizur Rahman,na,na,na,na,na,na,na,na,MI,na,na,RR,DC,na,CSK,na,SRH,SRH
Rahul Tripathi,na,na,na,na,na,na,na,na,RR,RR,KKR,KKR,SRH,SRH,SRH,CSK,na,Rising Pune Supergiant
Deepak Hooda,na,na,na,na,na,na,RR,RR,SRH,na,KXIP,PBKS,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,CSK,SRH,SRH
Shreyas Gopal,na,na,na,na,na,na,MI,MI,RR,RR,RR,RR,SRH,MI,MI,CSK,MI,MI
Khaleel Ahmed,na,na,na,na,na,na,na,na,SRH,SRH,SRH,SRH,DC,DC,DC,CSK,na,DD
Nathan Ellis,na,na,na,na,na,na,na,na,na,na,na,PBKS,PBKS,PBKS,PBKS,CSK,na,na
Adam Gilchrist,Deccan Chargers,Deccan Chargers,Deccan Chargers,KXIP,KXIP,KXIP,na,na,na,na,na,na,na,na,na,na,na,na
Venugopal Rao,Deccan Chargers,Deccan Chargers,Deccan Chargers,DD,DD,na,SRH,na,na,na,na,na,na,na,na,na,na,na
Dwaraka Ravi Teja,Deccan Chargers,Deccan Chargers,Deccan Chargers,na,Deccan Chargers,SRH,na,na,na,na,na,na,na,na,na,na,na,na
Pragyan Ojha,Deccan Chargers,Deccan Chargers,Deccan Chargers,Deccan Chargers,MI,MI,na,MI,na,na,na,na,na,na,na,na,na,na
Tirumalasetti Suman,na,Deccan Chargers,Deccan Chargers,MI,MI,Pune Warriors India,na,na,na,na,na,na,na,na,na,na,SRH,na
Ryan Harris,na,Deccan Chargers,Deccan Chargers,KXIP,KXIP,KXIP,na,na,na,na,na,na,na,na,na,na,na,na
Manvinder Bisla,na,Deccan Chargers,KXIP,KKR,KKR,KKR,KKR,RCB,na,na,na,na,na,na,na,na,na,na
Mitchell Marsh,na,na,Deccan Chargers,Pune Warriors India,Pune Warriors India,Pune Warriors India,na,na,na,na,SRH,na,DC,DC,DC,LSG,Rising Pune Supergiants,na
Ashish Reddy,na,na,Deccan Chargers,Deccan Chargers,Deccan Chargers,SRH,na,SRH,na,na,na,na,na,na,na,na,SRH,na
Kumar Sangakkara,KXIP,KXIP,KXIP,Deccan Chargers,Deccan Chargers,SRH,na,na,na,na,na,na,na,na,na,na,na,na
Shikhar Dhawan,DD,MI,MI,Deccan Chargers,Deccan Chargers,SRH,SRH,SRH,SRH,DC,DC,DC,PBKS,PBKS,PBKS,na,SRH,SRH
Ishant Sharma,KKR,KKR,KKR,Deccan Chargers,Deccan Chargers,SRH,SRH,SRH,na,DC,DC,DC,na,DC,DC,GT,Rising Pune Supergiants,KXIP
Amit Mishra,DD,DD,DD,Deccan Chargers,Deccan Chargers,SRH,SRH,DD,DD,DC,DC,DC,na,Lucknow Super Giants,Lucknow Super Giants,na,Gujarat Lions,DD
Ishank Jaggi,na,RCB,na,Deccan Chargers,Deccan Chargers,na,na,na,KKR,na,na,na,na,na,na,na,na,KKR
Sunny Sohal,KXIP,KXIP,KXIP,Deccan Chargers,Deccan Chargers,na,na,na,na,na,na,na,na,na,na,na,na,na
Bharat Chipli,RCB,RCB,na,Deccan Chargers,Deccan Chargers,DD,na,na,na,na,na,na,na,na,na,na,na,na
Kevin Pietersen,na,RCB,RCB,Deccan Chargers,DD,na,DD,na,na,na,na,na,na,na,na,na,Rising Pune Supergiants,na
JP Duminy,na,na,na,Deccan Chargers,Deccan Chargers,SRH,DD,DD,MI,na,na,na,na,na,na,na,DD,DD
Daniel Christian,na,na,na,Deccan Chargers,Deccan Chargers,RCB,na,na,DD,na,na,RCB,na,na,na,na,na,Rising Pune Supergiant
Jaydev Shah,RR,MI,na,Deccan Chargers,na,na,na,na,na,na,na,na,na,na,na,na,Gujarat Lions,Gujarat Lions
Chris Lynn,na,na,na,Deccan Chargers,Deccan Chargers,SRH,KKR,KKR,KKR,KKR,MI,MI,na,na,na,na,KKR,na
Cameron White,RCB,RCB,RCB,na,Deccan Chargers,SRH,na,na,na,na,na,na,na,na,na,na,na,na
Dale Steyn,RCB,RCB,RCB,na,Deccan Chargers,SRH,SRH,SRH,na,RCB,RCB,na,na,na,na,na,Gujarat Lions,na
Ankit Sharma,na,na,na,na,Deccan Chargers,SRH,RR,RR,RR,na,na,na,na,na,na,na,Rising Pune Supergiants,Rising Pune Supergiant
Shreyas Iyer,na,na,na,na,na,na,na,DD,DD,DC,DC,na,KKR,na,KKR,PBKS,DD,DD
Rishabh Pant,na,na,na,na,na,na,na,na,DD,DC,DC,DC,DC,na,DC,LSG,DD,DD
Prithvi Shaw,na,na,na,na,na,na,na,na,DD,DC,DC,DC,DC,DC,DC,na,na,na
Sherfane Rutherford,na,na,na,na,na,na,na,na,na,DC,MI,SRH,RCB,na,KKR,GT,na,na
Axar Patel,na,na,na,na,na,MI,na,KXIP,KXIP,DC,DC,DC,DC,DC,DC,DC,KXIP,KXIP
Rahul Tewatia,na,na,na,na,na,na,RR,RR,DD,DC,RR,RR,Gujarat Titans,Gujarat Titans,Gujarat Titans,GT,na,KXIP
Kagiso Rabada,na,na,na,na,na,na,na,na,DD,DC,DC,DC,PBKS,PBKS,PBKS,GT,na,DD
Trent Boult,na,na,na,na,na,na,na,SRH,DD,DC,MI,MI,RR,RR,RR,MI,SRH,KKR
Avesh Khan,na,na,na,na,na,na,na,na,DD,DC,DC,DC,Lucknow Super Giants,Lucknow Super Giants,RR,LSG,na,RCB
Harshal Patel,na,na,na,na,RCB,RCB,RCB,RCB,DD,DC,na,RCB,RCB,RCB,PBKS,SRH,RCB,RCB
Jayant Yadav,na,na,na,na,na,na,DD,DD,DD,MI,MI,MI,Gujarat Titans,Gujarat Titans,Gujarat Titans,GT,DD,DD
Jalaj Saxena,na,na,na,na,na,MI,MI,RCB,na,DC,na,PBKS,na,na,na,na,na,na
Shimron Hetmyer,na,na,na,na,na,na,na,na,na,RCB,DC,DC,RR,RR,RR,RR,na,na
Marcus Stoinis,na,na,na,na,na,na,na,DD,KXIP,RCB,DC,DC,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,na,KXIP,KXIP
Lalit Yadav,na,na,na,na,na,na,na,na,na,na,DC,DC,DC,DC,DC,na,na,na
Anrich Nortje,na,na,na,na,na,na,na,na,na,KKR,DC,DC,DC,DC,DC,KKR,na,na
Praveen Dubey,na,na,na,na,na,na,na,na,na,na,DC,na,DC,na,DC,na,RCB,RCB
Steve Smith,na,na,na,na,na,na,na,na,na,RR,RR,DC,na,na,na,na,Rising Pune Supergiants,Rising Pune Supergiant
Chris Woakes,na,na,na,na,na,na,na,na,RCB,na,na,DC,na,PBKS,PBKS,na,na,KKR
Umesh Yadav,na,DD,DD,DD,DD,DD,KKR,KKR,RCB,RCB,RCB,DC,KKR,KKR,Gujarat Titans,na,KKR,KKR
Vishnu Vinod,na,na,na,na,na,na,na,na,na,na,na,DC,SRH,MI,MI,na,na,RCB
David Warner,na,DD,DD,DD,DD,DD,SRH,SRH,na,SRH,SRH,SRH,DC,DC,DC,na,SRH,SRH
Sarfaraz Khan,na,na,na,na,na,na,na,RCB,RCB,KXIP,KXIP,PBKS,DC,DC,na,na,RCB,RCB
Mandeep Singh,na,na,KKR,KXIP,KXIP,KXIP,KXIP,RCB,RCB,KXIP,KXIP,PBKS,DC,KKR,na,na,RCB,RCB
Rovman Powell,na,na,na,na,na,na,na,na,na,na,na,na,DC,DC,RR,KKR,na,KKR
Chetan Sakariya,na,na,na,na,na,na,na,na,na,na,na,RR,DC,DC,KKR,KKR,na,na
Kuldeep Yadav,na,na,na,na,na,na,KKR,KKR,KKR,KKR,KKR,KKR,DC,DC,DC,DC,KKR,KKR
Manish Pandey,MI,RCB,RCB,Pune Warriors India,na,Pune Warriors India,KKR,KKR,SRH,SRH,SRH,SRH,Lucknow Super Giants,DC,KKR,KKR,KKR,KKR
Rilee Rossouw,na,na,na,RCB,na,na,RCB,RCB,na,na,na,na,na,PBKS,PBKS,na,na,na
Ricky Bhui,na,na,na,na,na,na,SRH,SRH,SRH,SRH,na,na,na,na,DC,na,SRH,SRH
KL Rahul,na,na,na,na,na,RCB,SRH,SRH,na,na,KXIP,PBKS,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,DC,RCB,na
Karun Nair,na,na,na,na,RCB,RCB,RR,RR,KXIP,KXIP,KXIP,KKR,RR,na,na,DC,DD,DD
Mitchell Starc,na,na,na,na,na,na,RCB,RCB,na,na,na,na,na,na,KKR,DC,RCB,na
T Natarajan,na,na,na,na,na,na,na,na,SRH,SRH,SRH,SRH,SRH,SRH,SRH,DC,na,KXIP
Dushmantha Chameera,na,na,na,na,na,na,na,na,RR,na,na,RCB,Lucknow Super Giants,na,KKR,DC,na,na
Darshan Nalkande,na,na,na,na,na,na,na,na,na,KXIP,KXIP,PBKS,Gujarat Titans,Gujarat Titans,Gujarat Titans,DC,na,na
Virender Sehwag,DD,DD,DD,DD,DD,DD,KXIP,KXIP,na,na,na,na,na,na,na,na,na,na
Gautam Gambhir,DD,DD,DD,KKR,KKR,KKR,KKR,KKR,DD,na,na,na,na,na,na,na,KKR,KKR
AB de Villiers,DD,DD,DD,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,RCB,na,na,na,na,RCB,RCB
Dinesh Karthik,DD,DD,DD,KXIP,na,MI,DD,RCB,KKR,KKR,KKR,KKR,RCB,RCB,RCB,na,Gujarat Lions,Gujarat Lions
Manoj Tiwary,DD,DD,KKR,KKR,KKR,KKR,DD,DD,KXIP,na,na,na,na,na,na,na,na,Rising Pune Supergiant
Tillakaratne Dilshan,DD,DD,DD,RCB,RCB,RCB,na,na,na,na,na,na,na,na,na,na,na,na
Rajat Bhatia,DD,DD,DD,KKR,KKR,KKR,RR,RR,na,na,na,na,na,na,na,na,Rising Pune Supergiants,Rising Pune Supergiant
Daniel Vettori,DD,DD,na,RCB,RCB,RCB,na,na,na,na,na,na,na,na,na,na,na,na
Pradeep Sangwan,DD,DD,DD,KKR,KKR,KKR,na,na,MI,na,na,na,Gujarat Titans,Gujarat Titans,na,na,Gujarat Lions,Gujarat Lions
Yogesh Nagar,DD,DD,DD,DD,DD,DD,na,na,na,na,na,na,na,na,na,na,na,na
Owais Shah,na,DD,KKR,Kochi Tuskers Kerala,RR,RR,na,na,na,na,na,na,na,na,na,na,na,na
Andrew McDonald,na,DD,DD,DD,RCB,RCB,na,na,na,na,na,na,na,na,na,na,na,na
Moises Henriques,na,na,DD,MI,na,RCB,SRH,SRH,na,KXIP,na,PBKS,na,na,na,na,SRH,SRH
